Nombre,Dirección,Notas
Centro Cultural Kavlin,"10, Calderon de la Barca, Punta Del Este, Maldonado, 20000, Uruguay",Lunes a viernes de 15 a 21 hs.
Julio Herrera y Obes 1222,"1222, Julio Herrera y Obes, Barrio Sur, Montevideo, 11110, Uruguay",Mañanas hasta 13 hs.
Casa Tenerife: Cuba entre Colombia y Martinica,"17, Cuba, Las Delicias, Pinares - Las Delicias, Maldonado, 20000, Uruguay",Coordinar 098942316
"Casa Isla Bonita, Gaviotín & Bigua","23, Gaviotín, Punta Ballena, Maldonado, 20000, Uruguay",Coordinar 094533700
HOPE Surf Shop,"776, Emilio Sader, Punta Del Este, Maldonado, 20100, Uruguay",De 19 a 23 hs
Club de Balleneros,"Mar Adriático, Punta Ballena, Maldonado, 20003, Uruguay",
El Popu,"12, Camino del Cerro Eguzquiza, El Tesoro, Maldonado, 20000, Uruguay",De 9 a 24 hs
Polo Educativo Tecnológico Arrayanes (UTU),"Polo Educativo Tecnológico Arrayanes, Camino de Los Arrayanes, Maldonado, Uruguay",De 9 a 16 hs
Marina del este,"12, Ruta 39, Monte Hermoso, Maldonado, 20400, Uruguay",Administración
Marina del este,"10, Ruta 39, Monte Hermoso, Maldonado, 20400, Uruguay",Depto. B294
Velsen 4546,"4540,4546, Velsen, Malvín, Malvín Nuevo, Montevideo, 11400, Uruguay",Coordinar 098945906
"Facultad de Arquitectura, Diseño y Urbanismo | UDELAR","Facultad de Arquitectura, 1031, Bulevar General Artigas, Parque Rodó, Montevideo, 11200, Uruguay",Coordinar con Santi 094428280
Casa de Carmen Calle Golondrinas (24) entre Avenida de los Cipreses y Calle Las Garzas,"55, Las Golondrinas, Guazuvirá, Canelones, 15300, Uruguay",Lunes a viernes de 10 a 17 hs. Cel 099 460 699
Agustina,"224, La Rosiña, Sector A, Los Eucaliptus, Maldonado, 20000, Uruguay",De 10 a 19 hs
Vivero Paseo de las Flores,"1, Las Madreselvas, Las FLores, Maldonado, 20200, Uruguay",De 9 a 17 hs
Pda. 42 Mansa. La Celestina % Mariana Pineda y Don Segundo Sombra,"9534, La Celestina, Punta Ballena, Maldonado, 20000, Uruguay",Whatsapp al 099343998 para coordinar
Radio Mangangá,"1478, Ruta 10 Juan Diaz de Solís, Solís, Maldonado, 20200, Uruguay",Coordinar por Whatsapp  098 948 498
Veiga Joyas Sauce,"1451, Vicente Ponce de León, Sauce, Canelones, 91500, Uruguay",General Artigas & Vicente Ponce de Leon
Casa Isabel,"Delmira Agustini, Villa Argentina, Municipio de Atlántida, Canelones, 16001, Uruguay",Coordinar por whatsapp 099 337 274
Fotocopias Colonia  Gral. Flores 468,"468, Avenida General Flores, Barrio Histórico, Colonia del Sacramento, Colonia, 70000, Uruguay",Lunes a viernes de 9.30 a 18.30
Al grano. Avda. Baltasar Brum 745,"745, Avenida Doctor Baltasar Brum, Barrio Histórico, Colonia del Sacramento, Colonia, 70000, Uruguay",Lunes a viernes de 9 a 13 hs y de 16 a 19 hs.
PIXEL Impresiones,"8114, Enrique G. Burnett, Sarubbi, Pinares - Las Delicias, Maldonado, 20000, Uruguay",
Casa Soledad,"Calle 45 - El Mantón, Buenos Aires, Maldonado, 20000, Uruguay",Coordinar por whatsapp 099 558 504
Casa Daiana,"4601, General Artigas, Jaureguiberry, Canelones, 15400, Uruguay",Coordinar por whatsapp 092 904 060
Casa Rosario,"1062, Río Uruguay, Lagomar, Ciudad de la Costa, Municipio de Ciudad de la Costa, Canelones, 15000, Uruguay",Coordinar por Whatsapp  099 608 633
Avenida Uruguay & Mar de Ajó,"3, Avenida Uruguay, Solymar, Ciudad de la Costa, Municipio de Ciudad de la Costa, Canelones, 15800, Uruguay",Coordinar por whatsapp 091668826
